Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,36296111,37171922,38041757
"Population, total",SP.POP.TOTL,Albania,ALB,2873457,2866376,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,41389174,42228415,43053054
"Population, total",SP.POP.TOTL,American Samoa,ASM,55617,55461,55312
"Population, total",SP.POP.TOTL,Andorra,AND,76997,77008,77146
"Population, total",SP.POP.TOTL,Angola,AGO,29816769,30809787,31825299
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,95425,96282,97115
"Population, total",SP.POP.TOTL,Argentina,ARG,44044811,44494502,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2944789,2951741,2957728
"Population, total",SP.POP.TOTL,Aruba,ABW,105361,105846,106310
"Population, total",SP.POP.TOTL,Australia,AUS,24601860,24982688,25365745
"Population, total",SP.POP.TOTL,Austria,AUT,8797566,8840521,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9854033,9939771,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,381749,385635,389486
"Population, total",SP.POP.TOTL,Bahrain,BHR,1494077,1569440,1641164
"Population, total",SP.POP.TOTL,Bangladesh,BGD,159685421,161376713,163046173
"Population, total",SP.POP.TOTL,Barbados,BRB,286229,286640,287021
"Population, total",SP.POP.TOTL,Belarus,BLR,9498264,9483499,9417849
"Population, total",SP.POP.TOTL,Belgium,BEL,11375158,11427054,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,375775,383071,390351
"Population, total",SP.POP.TOTL,Benin,BEN,11175192,11485035,11801151
"Population, total",SP.POP.TOTL,Bermuda,BMU,63873,63919,63913
"Population, total",SP.POP.TOTL,Bhutan,BTN,745563,754396,763094
"Population, total",SP.POP.TOTL,Bolivia,BOL,11192853,11353140,11513102
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3351534,3323929,3300998
"Population, total",SP.POP.TOTL,Botswana,BWA,2205076,2254067,2303703
"Population, total",SP.POP.TOTL,Brazil,BRA,207833825,209469320,211049519
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29567,29795,30033
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,424481,428960,433296
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7075947,7025037,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,19193236,19751466,20321383
"Population, total",SP.POP.TOTL,Burundi,BDI,10827010,11175379,11530577
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,537499,543764,549936
"Population, total",SP.POP.TOTL,Cambodia,KHM,16009413,16249795,16486542
"Population, total",SP.POP.TOTL,Cameroon,CMR,24566070,25216261,25876387
"Population, total",SP.POP.TOTL,Canada,CAN,36545295,37065178,37593384
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,63382,64172,64948
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4596023,4666375,4745179
"Population, total",SP.POP.TOTL,Chad,TCD,15016761,15477727,15946882
"Population, total",SP.POP.TOTL,Channel Islands,CHI,168666,170496,172264
"Population, total",SP.POP.TOTL,Chile,CHL,18470435,18729166,18952035
"Population, total",SP.POP.TOTL,China,CHN,1386395000,1392730000,1397715000
"Population, total",SP.POP.TOTL,Colombia,COL,48909844,49661056,50339443
"Population, total",SP.POP.TOTL,Comoros,COM,813890,832322,850891
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,81398765,84068092,86790568
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5110701,5244363,5380504
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4949955,4999443,5047561
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,24437475,25069226,25716554
"Population, total",SP.POP.TOTL,Croatia,HRV,4124531,4087843,4065253
"Population, total",SP.POP.TOTL,Cuba,CUB,11339255,11338146,11333484
"Population, total",SP.POP.TOTL,Curacao,CUW,160175,159336,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1179685,1189262,1198574
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10594438,10629928,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5764980,5793636,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,944100,958923,973557
"Population, total",SP.POP.TOTL,Dominica,DMA,71460,71626,71808
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10513111,10627147,10738957
"Population, total",SP.POP.TOTL,Ecuador,ECU,16785356,17084359,17373657
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,96442590,98423602,100388076
"Population, total",SP.POP.TOTL,El Salvador,SLV,6388124,6420740,6453550
